,Date,Action,Price,Shares,Capital,Position,Reason,Profit,Profit_pct
0,2023-11-30,BUY,5.019999980926514,1992,10000.160037994385,1992,"Conservative Entry: Trend, MACD, ML_bullish",,
1,2023-12-11,SELL,4.739999771118164,1992,19442.239582061768,0,Stop Loss,-557.7604179382324,-5.577693443669526
2,2023-12-19,BUY,5.010000228881836,1940,9722.839138031006,1940,"Conservative Entry: Trend, MACD, ML_bullish",,
3,2024-01-18,SELL,4.760000228881836,1940,18957.239582061768,0,Trailing Stop,-485.0,-4.990019732110803
4,2024-04-09,BUY,5.440000057220459,1742,9480.759482383728,1742,"Conservative Entry: Trend, MACD, ML_bullish",,
5,2024-05-29,SELL,5.480000019073486,1742,19026.91951560974,0,Trailing Stop,69.67993354797363,0.7352934086817846
6,2024-10-30,BUY,6.380000114440918,1491,9514.339344978333,1491,"Conservative Entry: Trend, MACD, ML_bullish",,
7,2024-10-31,SELL,6.059999942779541,1491,18549.799259662628,0,Stop Loss,-477.12025594711304,-5.015676581839978
8,2024-11-19,BUY,6.340000152587891,1462,9280.719036579132,1462,"Conservative Entry: Trend, MACD, ML_bullish",,
9,2024-11-29,SELL,6.170000076293945,1462,18301.25914812088,0,Trailing Stop,-248.54011154174805,-2.68138915145852
10,2024-12-05,BUY,6.369999885559082,1436,9153.939312458038,1436,"Conservative Entry: Trend, MACD, ML_bullish",,
11,2024-12-19,SELL,6.099999904632568,1436,17913.539175510406,0,Trailing Stop,-387.71997261047363,-4.238618301055375
12,2025-02-24,BUY,6.170000076293945,1451,8960.869064807892,1451,"Conservative Entry: Trend, MACD, ML_bullish",,
13,2025-05-13,SELL,6.809999942779541,1451,18842.178981781006,0,Trailing Stop,928.6398062705994,10.37276918268721
14,2025-05-23,BUY,7.110000133514404,1325,9421.42880487442,1325,"Conservative Entry: Trend, MACD, ML_bullish",,
15,2025-10-06,SELL,7.860000133514404,1325,19835.928981781006,0,Trailing Stop,993.75,10.548523008666699
