,Date,Action,Price,Shares,Capital,Position,Reason,Profit,Profit_pct
0,2022-12-05,BUY,52.95000076293945,264,6021.199798583984,264,"Aggressive Entry: Trend, ML_bullish",,
1,2022-12-07,SELL,49.099998474121094,264,18983.599395751953,0,Stop Loss,-1016.4006042480469,-7.271014604995128
2,2022-12-08,BUY,51.45000076293945,258,5709.499198913574,258,"Aggressive Entry: Trend, ML_bullish",,
3,2023-02-22,SELL,55.599998474121094,258,20054.298805236816,0,Trailing Stop,1070.6994094848633,8.066079008051199
4,2023-03-02,BUY,56.900001525878906,246,6056.8984298706055,246,"Aggressive Entry: Trend, ML_bullish",,
5,2023-03-06,SELL,55.849998474121094,246,19795.998054504395,0,Trailing Stop,-258.3007507324219,-1.845348020386707
6,2023-04-19,BUY,54.25,255,5962.2480545043945,255,"Aggressive Entry: Trend, ML_bullish",,
7,2023-04-21,SELL,52.900001525878906,255,19451.748443603516,0,Trailing Stop,-344.2496109008789,-2.4884764499927994
8,2023-04-28,BUY,56.70000076293945,240,5843.748260498047,240,"Aggressive Entry: Trend, ML_bullish",,
9,2023-05-23,SELL,53.04999923706055,240,18575.748077392578,0,Stop Loss,-876.0003662109375,-6.4373923752477955
10,2023-06-13,BUY,53.849998474121094,241,5597.8984451293945,241,"Aggressive Entry: Trend, ML_bullish",,
11,2023-06-14,SELL,51.29999923706055,241,17961.198261260986,0,Trailing Stop,-614.5498161315918,-4.735374761962176
12,2023-07-26,BUY,52.400001525878906,239,5437.597896575928,239,"Aggressive Entry: Trend, ML_bullish",,
13,2023-08-11,SELL,51.45000076293945,239,17734.148078918457,0,Trailing Stop,-227.0501823425293,-1.8129785024343446
14,2024-03-12,BUY,37.650001525878906,329,5347.297576904297,329,"Aggressive Entry: MACD, ML_bullish",,
15,2024-03-15,SELL,35.54999923706055,329,17043.247325897217,0,Stop Loss,-690.9007530212402,-5.577695096173935
16,2024-03-22,BUY,33.45000076293945,356,5135.0470542907715,356,"Aggressive Entry: RSI_oversold, ML_bullish",,
